 ,Area,Mean,IntDen,RawIntDen
1,81.982,130.94,10734.671,1280985
2,50.364,130.683,6581.679,785402
3,68.792,127.878,8796.944,1049753
4,42.244,125.421,5298.247,632248
5,50.976,129.445,6598.531,787413
6,53.666,132.348,7102.556,847559
7,83.532,129.028,10777.937,1286148
8,42.922,128.963,5535.401,660548
9,45.378,130.845,5937.449,708525
10,58.861,133.246,7843.047,935923
11,125.809,151.003,18997.506,2267002
12,65.892,151.682,9994.624,1192674
13,62.046,154.075,9559.668,1140770
14,63.085,149.33,9420.459,1124158
15,49.618,155.961,7738.498,923447
16,65.557,153.575,10067.924,1201421
17,56.624,153.54,8693.995,1037468
18,57.621,153.12,8822.93,1052854
19,50.079,155.955,7810.055,931986
20,45.084,156.033,7034.652,839456
21,129.278,151.798,19624.239,2341791
22,95.834,149.377,14315.384,1708277
23,124.697,151.484,20184.386,5236792
24,182.961,153.57,28097.254,3352889
25,113.692,153.001,17394.971,2075769
26,102.806,145.674,14976.123,1787124
27,170.701,153.3,26168.418,3122718
28,117.647,151.358,17806.757,2124908
29,104.499,155.823,16283.279,1943109
30,86.214,149.568,12894.795,1538756
31,138.002,154.243,21285.853,2540074
32,99.462,151.787,15097.13,1801564
33,161.449,154.249,24903.363,2971757
34,189.697,151.484,27482.386,5236792
35,65.012,154.505,10044.711,1198651
36,61.836,154.436,9549.704,1139581
37,58.032,156.292,9069.856,1082320
38,182.961,153.57,28097.254,3352889
39,113.692,153.001,17394.971,2075769
40,63.588,153.088,9734.466,1161629
